playerID,nameFirst,nameLast,yearID,age,G,AB,H,2B,3B,HR,RBI,SB,BB,SO,AVG,OBP,SLG,OPS,bats,throws,prev_year,next_year,prev_OPS,next_OPS,prev_OBP,next_OBP,prev_SLG,next_SLG,delta_OPS,delta_OBP,delta_SLG,statcast_age_bat,batted_ball_count,avg_launch_speed,avg_launch_angle,hard_hit_rate,avg_estimated_woba,avg_estimated_slg
valenda01,Danny,Valencia,2016,32.0,130,471,135,22,1,17,51.0,1.0,41,115.0,0.286624203821656,0.3462282398452611,0.445859872611465,0.7920881124567261,R,R,2015.0,2017.0,0.8636681659170415,0.725111111111111,0.3448275862068966,0.314,0.518840579710145,0.4111111111111111,-0.0715800534603154,0.0014006536383645,-0.0729807070986799,192.0,93.0,84.09139784946237,12.129032258064516,0.2473118279569892,0.2896243457943925,0.510718309859155
valenda01,Danny,Valencia,2017,33.0,130,450,115,19,3,15,66.0,2.0,40,122.0,0.2555555555555555,0.314,0.4111111111111111,0.725111111111111,R,R,2016.0,2018.0,0.7920881124567261,0.7234459741343346,0.3462282398452611,0.3156028368794326,0.445859872611465,0.4078431372549019,-0.066977001345615,-0.0322282398452611,-0.0347487615003538,198.0,140.0,84.3557142857143,16.185714285714287,0.2857142857142857,0.3309431612903226,0.5454888888888889
vargail01,Ildemaro,Vargas,2022,31.0,63,209,55,13,1,4,23.0,3.0,8,23.0,0.2631578947368421,0.2986425339366516,0.3923444976076555,0.6909870315443071,B,R,,2023.0,,0.6664823456423812,,0.303886925795053,,0.3625954198473282,,,,93.0,54.0,82.6074074074074,2.203703703703704,0.2037037037037037,0.2411129523809524,0.324027027027027
vargail01,Ildemaro,Vargas,2023,32.0,86,262,66,13,2,4,31.0,1.0,19,20.0,0.2519083969465648,0.303886925795053,0.3625954198473282,0.6664823456423812,B,R,2022.0,2024.0,0.6909870315443071,0.6114784840110541,0.2986425339366516,0.2953020134228188,0.3923444976076555,0.3161764705882353,-0.0245046859019258,0.0052443918584014,-0.0297490777603272,224.0,77.0,84.42727272727272,4.077922077922078,0.2727272727272727,0.2583924349545739,0.3875555555555556
vazquch01,Christian,Vazquez,2021,31.0,138,458,118,23,1,6,49.0,8.0,33,84.0,0.2576419213973799,0.3078470824949698,0.3515283842794759,0.6593754667744458,R,R,,2022.0,,0.7140514780475146,,0.3145539906103286,,0.3994974874371859,,,,186.0,177.0,82.5271186440678,22.54237288135593,0.1977401129943503,0.2883034953466469,0.4523877551020408
vazquch01,Christian,Vazquez,2022,32.0,119,398,109,23,0,9,52.0,1.0,22,69.0,0.2738693467336683,0.3145539906103286,0.3994974874371859,0.7140514780475146,R,R,2021.0,2023.0,0.6593754667744458,0.59770383040481,0.3078470824949698,0.2796610169491525,0.3515283842794759,0.3180428134556575,0.0546760112730687,0.0067069081153587,0.0479691031577099,192.0,139.0,82.76187050359712,22.92086330935252,0.2014388489208633,0.2543162498139025,0.3947945205479452
vazquch01,Christian,Vazquez,2023,33.0,102,327,73,13,0,6,32.0,1.0,25,82.0,0.2232415902140672,0.2796610169491525,0.3180428134556575,0.59770383040481,R,R,2022.0,2024.0,0.7140514780475146,0.5749177090190914,0.3145539906103286,0.2483870967741935,0.3994974874371859,0.3265306122448979,-0.1163476476427045,-0.0348929736611761,-0.0814546739815284,231.0,109.0,80.82935779816513,14.119266055045872,0.1376146788990825,0.29514585,0.4279655172413793
villajo01,Jonathan,Villar,2021,30.0,142,454,113,18,2,18,42.0,14.0,46,132.0,0.2488986784140969,0.3220675944333996,0.4162995594713656,0.7383671539047653,B,R,,2022.0,,0.5622541706225417,,0.2602739726027397,,0.3019801980198019,,,,180.0,150.0,81.15533333333335,13.28,0.2,0.3310418119828395,0.5937945205479452
vogelda01,Dan,Vogelbach,2022,30.0,130,386,92,19,1,18,59.0,0.0,73,114.0,0.238341968911917,0.3600867678958785,0.4326424870466321,0.7927292549425107,L,R,,2023.0,,0.7421943573667711,,0.3385579937304075,,0.4036363636363636,,,,180.0,153.0,84.57450980392157,15.745098039215684,0.2745098039215686,0.3368349644427607,0.6316951219512195
vogtst01,Stephen,Vogt,2015,31.0,136,445,116,21,3,18,71.0,0.0,56,97.0,0.2606741573033708,0.3405088062622309,0.4426966292134831,0.7832054354757141,L,R,,2016.0,,0.7106337271750806,,0.3045112781954887,,0.4061224489795918,,,,186.0,87.0,87.1655172413793,16.344827586206897,0.2758620689655172,0.3161308952380952,0.5643428571428571
